seq_id	tax_id	seq_family	seq_genus	seq_species	ref_seq_id	ref_tax_id	ref_seq_family	ref_seq_genus	ref_seq_species	edit_distance
CRCEC31490-22	TX0228	Cecidomyiidae	nan	nan	CRCEC44162-22	TX0269	Sciaridae	nan	nan	3
CRATB46145-24	TX0228	Cecidomyiidae	nan	nan	NODIA1046-24	TX41285	Diapriidae	Spilomicrus	Spilomicrus lusitanicus	29
CRTRB10697-22	TX0228	Cecidomyiidae	nan	nan	GMGMV1928-20	TX13151	Cecidomyiidae	Lestodiplosis	nan	30
CRTRB10697-22	TX0228	Cecidomyiidae	nan	nan	CRICB148-22	TX1160	Ephydridae	nan	nan	31
CRKAS25766-23	TX0228	Cecidomyiidae	nan	nan	CRCEC43746-22	TX0232	Chironomidae	nan	nan	28
CRKAS25766-23	TX0228	Cecidomyiidae	nan	nan	GMARE679-14	TX0232	Chironomidae	nan	nan	31
EMCEB10751-23	TX0228	Cecidomyiidae	nan	nan	CRALB41004-21	TX0926	Lauxaniidae	nan	nan	23
EMCEB10751-23	TX0228	Cecidomyiidae	nan	nan	GMGMV2756-20	TX13151	Cecidomyiidae	Lestodiplosis	nan	29
CRICB148-22	TX1160	Ephydridae	nan	nan	CRICB10654-22	TX0287	Ceratopogonidae	nan	nan	0
CRICB148-22	TX1160	Ephydridae	nan	nan	CRICA39786-22	TX0228	Cecidomyiidae	nan	nan	0
CRICB148-22	TX1160	Ephydridae	nan	nan	CRCOA666-21	TX0261	Dolichopodidae	nan	nan	0
CRICB148-22	TX1160	Ephydridae	nan	nan	CRICA4746-22	TX0228	Cecidomyiidae	nan	nan	0
CRICB148-22	TX1160	Ephydridae	nan	nan	CRCOA11684-21	TX0228	Cecidomyiidae	nan	nan	0
CRICB148-22	TX1160	Ephydridae	nan	nan	CRCOA2215-21	TX0228	Cecidomyiidae	nan	nan	0
CRICB148-22	TX1160	Ephydridae	nan	nan	CRCOA902-21	TX0261	Dolichopodidae	nan	nan	0
CRICB148-22	TX1160	Ephydridae	nan	nan	CRCOA11679-21	TX0228	Cecidomyiidae	nan	nan	0
CRICB148-22	TX1160	Ephydridae	nan	nan	CRCOA10823-21	TX0228	Cecidomyiidae	nan	nan	1
CRICB148-22	TX1160	Ephydridae	nan	nan	CRCOA14455-21	TX0228	Cecidomyiidae	nan	nan	1
CRICB148-22	TX1160	Ephydridae	nan	nan	CRCOA19672-21	TX0228	Cecidomyiidae	nan	nan	1
CRICB148-22	TX1160	Ephydridae	nan	nan	CRCOA3117-21	TX0228	Cecidomyiidae	nan	nan	1
CRICB148-22	TX1160	Ephydridae	nan	nan	CRICA42436-22	TX0228	Cecidomyiidae	nan	nan	1
CRICB148-22	TX1160	Ephydridae	nan	nan	CRCOA24097-21	TX0228	Cecidomyiidae	nan	nan	1
CRICB148-22	TX1160	Ephydridae	nan	nan	CRICB053-22	TX0228	Cecidomyiidae	nan	nan	1
CRICB148-22	TX1160	Ephydridae	nan	nan	CRCOA12123-21	TX0228	Cecidomyiidae	nan	nan	1
CRICB148-22	TX1160	Ephydridae	nan	nan	CRCOA23858-21	TX0228	Cecidomyiidae	nan	nan	2
CRICB148-22	TX1160	Ephydridae	nan	nan	CRCEC18169-22	TX0228	Cecidomyiidae	nan	nan	25
CRICB148-22	TX1160	Ephydridae	nan	nan	CRCEB7262-22	TX0228	Cecidomyiidae	nan	nan	26
CRCBB45382-23	TX0228	Cecidomyiidae	nan	nan	CRSAA3130-21	TX0276	Limoniidae	nan	nan	27
CRKAS28774-23	TX0228	Cecidomyiidae	nan	nan	CRALA1748-21	TX0275	Sphaeroceridae	nan	nan	27
GMBDE1458-23	TX0269	Sciaridae	nan	nan	CRKAS13777-23	TX0228	Cecidomyiidae	nan	nan	18
GMBDE1458-23	TX0269	Sciaridae	nan	nan	CRATC33515-23	TX0228	Cecidomyiidae	nan	nan	23
GMBDE1458-23	TX0269	Sciaridae	nan	nan	CRCBB33340-23	TX0228	Cecidomyiidae	nan	nan	24
GMBDE1458-23	TX0269	Sciaridae	nan	nan	CRCEA51560-22	TX0228	Cecidomyiidae	nan	nan	24
GMBDE1458-23	TX0269	Sciaridae	nan	nan	CROCA24955-21	TX0228	Cecidomyiidae	nan	nan	25
GMBDE1458-23	TX0269	Sciaridae	nan	nan	CRBLA24124-22	TX0228	Cecidomyiidae	nan	nan	26
GMBDE1458-23	TX0269	Sciaridae	nan	nan	CRBOG6047-23	TX0228	Cecidomyiidae	nan	nan	26
GMBDE1458-23	TX0269	Sciaridae	nan	nan	CROCA14067-21	TX0228	Cecidomyiidae	nan	nan	26
GMBDE1458-23	TX0269	Sciaridae	nan	nan	GMGSI120-12	TX0228	Cecidomyiidae	nan	nan	27
GMBDE1458-23	TX0269	Sciaridae	nan	nan	CRBLA10165-22	TX0228	Cecidomyiidae	nan	nan	27
GMBDE1458-23	TX0269	Sciaridae	nan	nan	CRKAS18945-23	TX0228	Cecidomyiidae	nan	nan	27
GMBDE1458-23	TX0269	Sciaridae	nan	nan	CRKAS12278-23	TX0228	Cecidomyiidae	nan	nan	28
GMBDE1458-23	TX0269	Sciaridae	nan	nan	PLLCY042-20	TX0228	Cecidomyiidae	nan	nan	28
GMBDE1458-23	TX0269	Sciaridae	nan	nan	CRHTA832-22	TX0228	Cecidomyiidae	nan	nan	28
GMBDE1458-23	TX0269	Sciaridae	nan	nan	SAKZA12705-23	TX0228	Cecidomyiidae	nan	nan	29
GMBDE1458-23	TX0269	Sciaridae	nan	nan	CRSAA3613-23	TX0228	Cecidomyiidae	nan	nan	29
GMBDE1458-23	TX0269	Sciaridae	nan	nan	THAMB5586-22	TX0228	Cecidomyiidae	nan	nan	29
GMBDE1458-23	TX0269	Sciaridae	nan	nan	CRCBB950-23	TX0228	Cecidomyiidae	nan	nan	32
GMBDE1458-23	TX0269	Sciaridae	nan	nan	CRHYA33892-22	TX0228	Cecidomyiidae	nan	nan	31
CROZA2566-21	TX0228	Cecidomyiidae	nan	nan	CROZA2613-21	TX0269	Sciaridae	nan	nan	5
CRALB33086-21	TX0228	Cecidomyiidae	nan	nan	CRALB34855-21	TX0269	Sciaridae	nan	nan	1
CRALB33086-21	TX0228	Cecidomyiidae	nan	nan	CRALB32330-21	TX0287	Ceratopogonidae	nan	nan	3
CRBOA30867-23	TX0228	Cecidomyiidae	nan	nan	CRHYA5543-22	TX0266	Psychodidae	nan	nan	29
CRSAA1497-21	TX0228	Cecidomyiidae	nan	nan	CRATA43500-22	TX0261	Dolichopodidae	nan	nan	26
CRKAS20290-23	TX0228	Cecidomyiidae	nan	nan	CRCEC42106-22	TX0232	Chironomidae	nan	nan	29
CRCBA48356-23	TX0228	Cecidomyiidae	nan	nan	CRCEC47959-22	TX0269	Sciaridae	nan	nan	1
CRCBA48356-23	TX0228	Cecidomyiidae	nan	nan	ONTA19955-23	TX0269	Sciaridae	nan	nan	1
CRALA12469-21	TX0228	Cecidomyiidae	nan	nan	CRALB10124-21	TX0269	Sciaridae	nan	nan	0
CRKAS27902-23	TX0228	Cecidomyiidae	nan	nan	CRCBB31830-23	TX1442	Clusiidae	nan	nan	23
CRBOA14770-23	TX0228	Cecidomyiidae	nan	nan	CRCEC46485-22	TX0269	Sciaridae	nan	nan	2
CRBOE4499-23	TX0228	Cecidomyiidae	nan	nan	SSEIB2144-13	TX0930	Hybotidae	nan	nan	21
CRALA17155-21	TX0228	Cecidomyiidae	nan	nan	CRALB32330-21	TX0287	Ceratopogonidae	nan	nan	16
CRBOB10902-23	TX0228	Cecidomyiidae	nan	nan	GMBDA2251-23	TX0269	Sciaridae	nan	nan	28
OPPFO1118-17	TX0228	Cecidomyiidae	nan	nan	OPPQO1265-17	TX45468	Cecidomyiidae	Clinodiplosis	nan	10
CRCEC32721-22	TX1154	Mymaridae	nan	nan	SAFSB4049-22	TX0228	Cecidomyiidae	nan	nan	23
CRCEC32721-22	TX1154	Mymaridae	nan	nan	SAFSB127-22	TX0228	Cecidomyiidae	nan	nan	23
CRCEC32721-22	TX1154	Mymaridae	nan	nan	SATHA2722-22	TX0228	Cecidomyiidae	nan	nan	23
CRCEC32721-22	TX1154	Mymaridae	nan	nan	CRSAA8336-23	TX0228	Cecidomyiidae	nan	nan	25
CRCEC32721-22	TX1154	Mymaridae	nan	nan	CRSRA44523-22	TX0228	Cecidomyiidae	nan	nan	26
CRCEC32721-22	TX1154	Mymaridae	nan	nan	SAFSB4694-22	TX0228	Cecidomyiidae	nan	nan	26
CRCEC32721-22	TX1154	Mymaridae	nan	nan	PLCDV006-20	TX0228	Cecidomyiidae	nan	nan	27
CRCEC32721-22	TX1154	Mymaridae	nan	nan	THAMA17044-23	TX0228	Cecidomyiidae	nan	nan	27
CRCEC32721-22	TX1154	Mymaridae	nan	nan	TMGHA5867-21	TX0228	Cecidomyiidae	nan	nan	27
CRCEC32721-22	TX1154	Mymaridae	nan	nan	CRBOA12656-23	TX0228	Cecidomyiidae	nan	nan	27
CRCEC32721-22	TX1154	Mymaridae	nan	nan	EMCEB2101-22	TX0228	Cecidomyiidae	nan	nan	28
CRCEC32721-22	TX1154	Mymaridae	nan	nan	CRBOB7347-23	TX0228	Cecidomyiidae	nan	nan	28
CRCEC32721-22	TX1154	Mymaridae	nan	nan	CRCBB4505-23	TX0228	Cecidomyiidae	nan	nan	28
CRCEC32721-22	TX1154	Mymaridae	nan	nan	CRSIA24873-22	TX0228	Cecidomyiidae	nan	nan	28
CRCEC32721-22	TX1154	Mymaridae	nan	nan	TSMTB4517-23	TX0228	Cecidomyiidae	nan	nan	28
CRCEC32721-22	TX1154	Mymaridae	nan	nan	THAMA13959-22	TX0228	Cecidomyiidae	nan	nan	28
CRCEC32721-22	TX1154	Mymaridae	nan	nan	GMARX2084-21	TX0228	Cecidomyiidae	nan	nan	29
CRCEC32721-22	TX1154	Mymaridae	nan	nan	GMSPA37680-22	TX0228	Cecidomyiidae	nan	nan	30
CRCEC32721-22	TX1154	Mymaridae	nan	nan	CRQZA5595-22	TX0228	Cecidomyiidae	nan	nan	31
CRHTA42563-22	TX0228	Cecidomyiidae	nan	nan	CRHYA5543-22	TX0266	Psychodidae	nan	nan	3
CRHTA42563-22	TX0228	Cecidomyiidae	nan	nan	GMGMV2756-20	TX13151	Cecidomyiidae	Lestodiplosis	nan	29
CRHTA42563-22	TX0228	Cecidomyiidae	nan	nan	GMGMV4643-20	TX13151	Cecidomyiidae	Lestodiplosis	nan	29
CEFIN7659-21	TX0228	Cecidomyiidae	nan	nan	FTUNE330-22	TX41095	Cecidomyiidae	Iteomyia	nan	0
CRSCA4274-23	TX0228	Cecidomyiidae	nan	nan	PHAUG254-11	TX0269	Sciaridae	nan	nan	23
CRBOB5464-23	TX0228	Cecidomyiidae	nan	nan	CRCEC8097-22	TX0269	Sciaridae	nan	nan	31
CRBOB5464-23	TX0228	Cecidomyiidae	nan	nan	CRCCC357-23	TX0266	Psychodidae	nan	nan	31
GMMOZ041-23	TX0228	Cecidomyiidae	nan	nan	ONTA22748-23	TX0232	Chironomidae	nan	nan	24
CRCCB2494-23	TX0228	Cecidomyiidae	nan	nan	CRCEC39053-22	TX0232	Chironomidae	nan	nan	25
CRCEC4601-22	TX0228	Cecidomyiidae	nan	nan	CRCEC8097-22	TX0269	Sciaridae	nan	nan	29
CRALB35820-21	TX0228	Cecidomyiidae	nan	nan	CRALB24581-21	TX0926	Lauxaniidae	nan	nan	3
CRBAA45893-22	TX0228	Cecidomyiidae	nan	nan	CRBAC1334-22	TX0287	Ceratopogonidae	nan	nan	1
CRBAA45893-22	TX0228	Cecidomyiidae	nan	nan	CRCEC43746-22	TX0232	Chironomidae	nan	nan	1
CRBAA45893-22	TX0228	Cecidomyiidae	nan	nan	ONTA26858-23	TX0232	Chironomidae	nan	nan	1
CRCBB11909-23	TX0228	Cecidomyiidae	nan	nan	PLXDC3092-20	TX0301	Coccinellidae	nan	nan	27
CRCBB23878-23	TX0228	Cecidomyiidae	nan	nan	CRCEC40135-22	TX0906	Mordellidae	nan	nan	22
CRSIA12385-21	TX0228	Cecidomyiidae	nan	nan	CRSIB5362-22	TX0926	Lauxaniidae	nan	nan	1
CRCOA11684-21	TX0228	Cecidomyiidae	nan	nan	CRCOA902-21	TX0261	Dolichopodidae	nan	nan	0
CRCOA11684-21	TX0228	Cecidomyiidae	nan	nan	CRICB148-22	TX1160	Ephydridae	nan	nan	3
CRCOA11684-21	TX0228	Cecidomyiidae	nan	nan	CRCOA666-21	TX0261	Dolichopodidae	nan	nan	3
CRCOA11684-21	TX0228	Cecidomyiidae	nan	nan	CRICB10654-22	TX0287	Ceratopogonidae	nan	nan	3
CRCBC23409-23	TX0228	Cecidomyiidae	nan	nan	ONTA32992-23	TX0232	Chironomidae	nan	nan	28
CRBOA58316-23	TX0228	Cecidomyiidae	nan	nan	CRBAA2595-22	TX0287	Ceratopogonidae	nan	nan	10
CEFIN2830-21	TX0228	Cecidomyiidae	nan	nan	CRBLA16055-22	TX0266	Psychodidae	nan	nan	28
CRCBB49663-23	TX0228	Cecidomyiidae	nan	nan	CRCEC48396-22	TX0268	Curculionidae	nan	nan	5
CRCCB26381-23	TX0228	Cecidomyiidae	nan	nan	CRCEC38132-22	TX0269	Sciaridae	nan	nan	4
CRCCB26381-23	TX0228	Cecidomyiidae	nan	nan	ONTA14465-23	TX0269	Sciaridae	nan	nan	4
GMMOZ1472-23	TX0228	Cecidomyiidae	nan	nan	CGNPA076-22	TX38592	Mutillidae	Dasymutilla	nan	27
CRBOE20719-23	TX0228	Cecidomyiidae	nan	nan	SSEIB2144-13	TX0930	Hybotidae	nan	nan	29
CRSAA686-21	TX0228	Cecidomyiidae	nan	nan	CRSGC5295-23	TX0266	Psychodidae	nan	nan	27
CRSIA48347-22	TX0228	Cecidomyiidae	nan	nan	CRALA9113-21	TX0275	Sphaeroceridae	nan	nan	31
CRSIA48347-22	TX0228	Cecidomyiidae	nan	nan	CRALB24581-21	TX0926	Lauxaniidae	nan	nan	31
CRCBB2045-23	TX0228	Cecidomyiidae	nan	nan	CRCEC42091-22	TX0269	Sciaridae	nan	nan	31
CROAE12560-23	TX0228	Cecidomyiidae	nan	nan	ONTA32992-23	TX0232	Chironomidae	nan	nan	27
CRBOB7479-23	TX0228	Cecidomyiidae	nan	nan	CRCEC43460-22	TX0269	Sciaridae	nan	nan	26
SATHA15368-23	TX0228	Cecidomyiidae	nan	nan	OPPQO1265-17	TX45468	Cecidomyiidae	Clinodiplosis	nan	22
CRQUB15254-22	TX0228	Cecidomyiidae	nan	nan	CRQUB17493-22	TX0232	Chironomidae	nan	nan	4
CRSIA10838-21	TX0228	Cecidomyiidae	nan	nan	CRSIA49363-22	TX0269	Sciaridae	nan	nan	0
CRALA32059-21	TX0228	Cecidomyiidae	nan	nan	CRALB10124-21	TX0269	Sciaridae	nan	nan	5
CRBLA1081-22	TX0228	Cecidomyiidae	nan	nan	CRBLA48725-22	TX0287	Ceratopogonidae	nan	nan	1
CRBLA1081-22	TX0228	Cecidomyiidae	nan	nan	CRBLA46503-22	TX0266	Psychodidae	nan	nan	3
CRCBA48179-23	TX0228	Cecidomyiidae	nan	nan	CRCBA9674-22	TX0232	Chironomidae	nan	nan	31
GMARA271-14	TX0228	Cecidomyiidae	nan	nan	PLQDM082-20	TX0269	Sciaridae	nan	nan	32
CRCBB24144-23	TX0228	Cecidomyiidae	nan	nan	GMARA1406-14	TX0926	Lauxaniidae	nan	nan	27
CRPEA45315-21	TX0228	Cecidomyiidae	nan	nan	ONTA22748-23	TX0232	Chironomidae	nan	nan	31
CRPEA45315-21	TX0228	Cecidomyiidae	nan	nan	CRCEC42106-22	TX0232	Chironomidae	nan	nan	31
CRALA27748-21	TX0228	Cecidomyiidae	nan	nan	CRALB34855-21	TX0269	Sciaridae	nan	nan	14
CRALA27748-21	TX0228	Cecidomyiidae	nan	nan	CRALB32330-21	TX0287	Ceratopogonidae	nan	nan	14
GMARX4924-21	TX0228	Cecidomyiidae	nan	nan	GMARE679-14	TX0232	Chironomidae	nan	nan	27
CROCB2201-22	TX0228	Cecidomyiidae	nan	nan	CRCBC14021-23	TX0269	Sciaridae	nan	nan	27
CROCB2201-22	TX0228	Cecidomyiidae	nan	nan	ONTA22748-23	TX0232	Chironomidae	nan	nan	31
CEFIN6197-21	TX0228	Cecidomyiidae	nan	nan	GMGKH2182-20	TX0232	Chironomidae	nan	nan	21
CRSRA3447-22	TX0228	Cecidomyiidae	nan	nan	CRCEC38142-22	TX0266	Psychodidae	nan	nan	24
CRCCB650-23	TX0228	Cecidomyiidae	nan	nan	CRCBC14021-23	TX0269	Sciaridae	nan	nan	26
CRTOA36114-22	TX0228	Cecidomyiidae	nan	nan	CRTOA39863-22	TX0261	Dolichopodidae	nan	nan	0
CRCCF6546-23	TX0228	Cecidomyiidae	nan	nan	CRTOC5675-22	TX0269	Sciaridae	nan	nan	32
CRALB41004-21	TX0926	Lauxaniidae	nan	nan	CRALB2047-21	TX0228	Cecidomyiidae	nan	nan	0
CRALB41004-21	TX0926	Lauxaniidae	nan	nan	CRALB21298-21	TX0228	Cecidomyiidae	nan	nan	0
CRALB41004-21	TX0926	Lauxaniidae	nan	nan	CRALA8216-21	TX0228	Cecidomyiidae	nan	nan	0
CRALB41004-21	TX0926	Lauxaniidae	nan	nan	CRALA39426-21	TX0228	Cecidomyiidae	nan	nan	0
CRALB41004-21	TX0926	Lauxaniidae	nan	nan	CRALB2669-21	TX0228	Cecidomyiidae	nan	nan	0
CRALB41004-21	TX0926	Lauxaniidae	nan	nan	CRALA16940-21	TX0228	Cecidomyiidae	nan	nan	1
CRALB41004-21	TX0926	Lauxaniidae	nan	nan	CRCBB33338-23	TX0228	Cecidomyiidae	nan	nan	8
CRALB41004-21	TX0926	Lauxaniidae	nan	nan	CRCBB15640-23	TX0228	Cecidomyiidae	nan	nan	13
CRALB41004-21	TX0926	Lauxaniidae	nan	nan	CRCBB50169-23	TX0228	Cecidomyiidae	nan	nan	13
CRALB41004-21	TX0926	Lauxaniidae	nan	nan	CRCBB1292-23	TX0228	Cecidomyiidae	nan	nan	14
CRALB41004-21	TX0926	Lauxaniidae	nan	nan	CRCEC45300-22	TX0228	Cecidomyiidae	nan	nan	14
